Id,Problem,Solution
1,Write a C++ Program to C++ Program to Add Two Numbers,"#include <iostream>
using namespace std;

int main()
{
    int first_._ second_._ sum;

    cout << ""Enter 1st integer :: "";
    cin >> first;
    cout << ""\nEnter 2nd integer :: "";
    cin >> second;

    sum = first + second;

    cout<<""\nSum of Two Numbers [ ""<<first<<"" + ""<<second<<"" ] = ""<<sum<<""\n"";

    return 0;
}"
2,Write a C++ Program to Display Number (Entered by the User),"#include <iostream>
using namespace std;

int main()
{
    int number;

    cout << ""Enter an integer :: "";
    cin >> number;

    cout << ""\nThe Number entered is :: "" << number<<""\n"";
    return 0;
}"
3,Write a C++ Program to Find Quotient and Remainder of 2 numbers.,"#include <iostream>
using namespace std;

int main()
{
    int divisor_._ dividend_._ quotient_._ remainder;

    cout << ""Enter dividend :: "";
    cin >> dividend;

    cout << ""\nEnter divisor :: "";
    cin >> divisor;

    quotient = dividend / divisor;
    remainder = dividend % divisor;

    cout << ""\nQuotient = "" << quotient << endl;
    cout << ""\nRemainder = "" << remainder<<endl;

    return 0;"
4,Write a C++ Program to Swap Two Numbers without using third variable,"#include <iostream>
using namespace std;

int main()
{

    int a_._b ;

    cout<<""Enter 1st number :: "";
    cin>>a;
    cout<<""\nEnter 2nd number :: "";
    cin>>b;

    cout << ""\nBefore swapping_._ Numbers are :: "" << endl;
    cout << ""\n\ta = "" << a << ""_._ b = "" << b << endl;

    a = a + b;
    b = a - b;
    a = a - b;

    cout << ""\nAfter swapping_._ Numbers are :: "" << endl;
    cout << ""\n\ta = "" << a << ""_._ b = "" << b << endl;

    return 0;
}"
5,Write a program to find size of int_._ float_._ double and char,"#include <iostream>
using namespace std;

int main()
{
    cout << ""Size of char: "" << sizeof(char) << "" byte"" << endl;
    cout << ""\nSize of int: "" << sizeof(int) << "" bytes"" << endl;
    cout << ""\nSize of float: "" << sizeof(float) << "" bytes"" << endl;
    cout << ""\nSize of double: "" << sizeof(double) << "" bytes"" << endl;

    return 0;
}"
6,Write a C++ Program to Multiply two Numbers,"#include <iostream>
using namespace std;

int main()
{
    double first_._ second_._ product;

    cout << ""Enter 1st number :: "";
    cin >> first;
    cout << ""\nEnter 2nd number :: "";
    cin >> second;

    product = first * second;

    cout << ""\nProduct of Two  Numbers [ ""<<first<<"" * ""<<second<<"" ] = "" << product<<""\n"";

    return 0;
}"
7,Write a C++ Program to Display ASCII Value of a Character,"#include <iostream>
using namespace std;

int main()
{
     char c;

     cout << ""Enter any Character :: "";
     cin >> c;

     cout << ""\nThe ASCII Value of Character [ ""<< c << "" ] is :: "" << int(c)<<""\n"";

     return 0;
}"
8,Write a C++ Program to Generate Random Numbers between 0 and 100,"#include<iostream>
#include<stdlib.h>
using namespace std;

int main()
{
    int i;          //loop counter
    int num;        //store random number

    cout<<""Generating Random Numbers Below :: \n\n"";
    for(i=1;i<=10;i++)
    {
        num=rand()%100; //get random number
        cout<<"" ""<<num<<"" "";
    }

    cout<<""\n"";

    return 0;
}"
9,Write a C++ Program to Find Sum and Average of three numbers,"#include<iostream>
using namespace std;

int main()
{
    float a_._b_._c_._sum_._avg;
    cout<<""Enter 1st number :: "";
    cin>>a;
    cout<<""\nEnter 2nd number :: "";
    cin>>b;
    cout<<""\nEnter 3rd number :: "";
    cin>>c;

    sum=a+b+c;

    avg=sum/3;

    cout<<""\nThe SUM of 3 Numbers [ ""<<a<<"" + ""<<b<<"" + ""<<c<<"" ] = ""<<sum<<""\n"";
    cout<<""\nThe AVERAGE of 3 Numbers [ ""<<a<<""_._ ""<<b<<""_._ ""<<c<<"" ] = ""<<avg<<""\n"";

    return 0;
}"
10,Write a C++ Program to convert inches to feet yards and inches.,"#include<iostream>
using namespace std;

int main()
{
    int y_._f_._i;
    cout<<""Enter Inches to Convert ::"";
    cin>>i;

    y=i/432;
    i=i%432;
    f=i/12;
    i=i%12;

    cout<<""\nAfter Conversion from inches to feet_._ yards and inches :: \n"";
    cout<<""\nYards = ""<<y<<""\n\nFeet = ""<<f<<""\n\nInches = ""<<i<<""\n"";

    return 0;
}"
